offer	option1	option2	sub_name	trial
17	7	17	Sub_1jig01dr	46
2	0	2	Sub_1jig01dr	47
4	2	4	Sub_1jig01dr	48
6	2	6	Sub_1jig01dr	49
0	20	0	Sub_1jig01dr	50
17	17	3	Sub_1jig01dr	51
9	9	11	Sub_1jig01dr	52
5	5	15	Sub_1jig01dr	53
7	7	5	Sub_1jig01dr	54
10	0	10	Sub_1jig01dr	55
12	12	2	Sub_1jig01dr	56
11	11	19	Sub_1jig01dr	57
12	8	12	Sub_1jig01dr	58
16	16	20	Sub_1jig01dr	59
4	20	4	Sub_1jig01dr	60
16	16	20	Sub_1jig01dr	61
15	15	1	Sub_1jig01dr	62
8	14	8	Sub_1jig01dr	63
14	14	18	Sub_1jig01dr	64
9	15	9	Sub_1jig01dr	65
5	5	15	Sub_1jig01dr	66
4	4	16	Sub_1jig01dr	67
14	14	0	Sub_1jig01dr	68
7	13	7	Sub_1jig01dr	69
14	14	18	Sub_1jig01dr	70
10	10	18	Sub_1jig01dr	71
12	12	18	Sub_1jig01dr	72
11	11	5	Sub_1jig01dr	73
11	11	19	Sub_1jig01dr	74
3	3	11	Sub_1jig01dr	75
2	18	2	Sub_1jig01dr	76
6	0	6	Sub_1jig01dr	77
4	12	4	Sub_1jig01dr	78
4	0	4	Sub_1jig01dr	79
9	17	9	Sub_1jig01dr	80
1	17	1	Sub_1jig01dr	81
10	10	12	Sub_1jig01dr	82
10	10	18	Sub_1jig01dr	83
7	3	7	Sub_1jig01dr	84
10	10	20	Sub_1jig01dr	85
7	7	11	Sub_1jig01dr	86
0	0	20	Sub_1jig01dr	87
6	6	8	Sub_1jig01dr	88
9	9	15	Sub_1jig01dr	89
8	8	16	Sub_1jig01dr	90
12	14	12	Sub_1jig01dr	91
9	9	15	Sub_1jig01dr	92
8	8	2	Sub_1jig01dr	93
16	16	18	Sub_1jig01dr	94
11	11	17	Sub_1jig01dr	95
12	12	16	Sub_1jig01dr	96
18	18	20	Sub_1ma83ra9	1
6	2	6	Sub_1ma83ra9	2
8	4	8	Sub_1ma83ra9	3
14	6	14	Sub_1ma83ra9	4
11	11	1	Sub_1ma83ra9	5
7	7	15	Sub_1ma83ra9	6
12	12	16	Sub_1ma83ra9	7
10	6	10	Sub_1ma83ra9	8
7	7	15	Sub_1ma83ra9	9
8	8	20	Sub_1ma83ra9	10
12	12	16	Sub_1ma83ra9	11
13	13	19	Sub_1ma83ra9	12
12	6	12	Sub_1ma83ra9	13
9	9	13	Sub_1ma83ra9	14
1	19	1	Sub_1ma83ra9	15
0	0	16	Sub_1ma83ra9	16
3	1	3	Sub_1ma83ra9	17
10	10	18	Sub_1ma83ra9	18
11	11	19	Sub_1ma83ra9	19
2	2	18	Sub_1ma83ra9	20
9	19	9	Sub_1ma83ra9	21
15	3	15	Sub_1ma83ra9	22
6	2	6	Sub_1ma83ra9	23
13	13	17	Sub_1ma83ra9	24
13	1	13	Sub_1ma83ra9	25
8	8	20	Sub_1ma83ra9	26
1	15	1	Sub_1ma83ra9	27
2	2	14	Sub_1ma83ra9	28
11	11	17	Sub_1ma83ra9	29
5	5	3	Sub_1ma83ra9	30
6	14	6	Sub_1ma83ra9	31
11	11	15	Sub_1ma83ra9	32
5	1	5	Sub_1ma83ra9	33
9	9	1	Sub_1ma83ra9	34
1	1	19	Sub_1ma83ra9	35
10	12	10	Sub_1ma83ra9	36
7	7	3	Sub_1ma83ra9	37
5	1	5	Sub_1ma83ra9	38
16	2	16	Sub_1ma83ra9	39
1	1	19	Sub_1ma83ra9	40
5	5	15	Sub_1ma83ra9	41
11	3	11	Sub_1ma83ra9	42
5	5	3	Sub_1ma83ra9	43
2	2	18	Sub_1ma83ra9	44
8	8	6	Sub_1ma83ra9	45
4	2	4	Sub_1ma83ra9	46
11	1	11	Sub_1ma83ra9	47
14	4	14	Sub_1ma83ra9	48
12	14	12	Sub_1ma83ra9	49
0	0	20	Sub_1ma83ra9	50
6	6	16	Sub_1ma83ra9	51
14	14	16	Sub_1ma83ra9	52
0	20	0	Sub_1ma83ra9	53
5	5	17	Sub_1ma83ra9	54
17	17	19	Sub_1ma83ra9	55
17	17	3	Sub_1ma83ra9	56
3	3	19	Sub_1ma83ra9	57
13	13	19	Sub_1ma83ra9	58
10	10	6	Sub_1ma83ra9	59
3	17	3	Sub_1ma83ra9	60
6	6	18	Sub_1ma83ra9	61
12	6	12	Sub_1ma83ra9	62
12	12	2	Sub_1ma83ra9	63
12	0	12	Sub_1ma83ra9	64
1	17	1	Sub_1ma83ra9	65
2	2	16	Sub_1ma83ra9	66
5	5	17	Sub_1ma83ra9	67
14	14	20	Sub_1ma83ra9	68
3	1	3	Sub_1ma83ra9	69
10	10	18	Sub_1ma83ra9	70
9	3	9	Sub_1ma83ra9	71
9	15	9	Sub_1ma83ra9	72
13	13	17	Sub_1ma83ra9	73
8	8	14	Sub_1ma83ra9	74
5	5	19	Sub_1ma83ra9	75
10	2	10	Sub_1ma83ra9	76
10	10	8	Sub_1ma83ra9	77
13	13	7	Sub_1ma83ra9	78
4	4	20	Sub_1ma83ra9	79
10	0	10	Sub_1ma83ra9	80
