offer	option1	option2	sub_name	trial
10	10	8	Sub_1ma83ra9	80
7	7	13	Sub_1ma83ra9	81
2	2	20	Sub_1ma83ra9	82
9	1	9	Sub_1ma83ra9	83
5	3	5	Sub_1ma83ra9	84
11	11	19	Sub_1ma83ra9	85
8	0	8	Sub_1ma83ra9	86
9	3	9	Sub_1ma83ra9	87
14	14	20	Sub_1ma83ra9	88
6	6	14	Sub_1ma83ra9	89
7	3	7	Sub_1ma83ra9	90
9	7	9	Sub_1ma83ra9	91
2	2	12	Sub_1ma83ra9	92
14	14	18	Sub_1ma83ra9	93
4	4	20	Sub_1ma83ra9	94
2	2	16	Sub_1ma83ra9	95
13	13	15	Sub_1ma83ra9	96
5	5	19	Sub_1qrs0ktd	1
11	13	11	Sub_1qrs0ktd	2
12	4	12	Sub_1qrs0ktd	3
15	15	5	Sub_1qrs0ktd	4
16	2	16	Sub_1qrs0ktd	5
19	19	7	Sub_1qrs0ktd	6
10	10	12	Sub_1qrs0ktd	7
11	11	17	Sub_1qrs0ktd	8
8	0	8	Sub_1qrs0ktd	9
11	9	11	Sub_1qrs0ktd	10
6	2	6	Sub_1qrs0ktd	11
5	3	5	Sub_1qrs0ktd	12
10	10	12	Sub_1qrs0ktd	13
18	2	18	Sub_1qrs0ktd	14
14	14	20	Sub_1qrs0ktd	15
11	11	1	Sub_1qrs0ktd	16
11	11	19	Sub_1qrs0ktd	17
8	8	18	Sub_1qrs0ktd	18
10	10	6	Sub_1qrs0ktd	19
9	3	9	Sub_1qrs0ktd	20
10	4	10	Sub_1qrs0ktd	21
14	6	14	Sub_1qrs0ktd	22
15	13	15	Sub_1qrs0ktd	23
14	14	20	Sub_1qrs0ktd	24
10	10	18	Sub_1qrs0ktd	25
17	5	17	Sub_1qrs0ktd	26
16	6	16	Sub_1qrs0ktd	27
14	2	14	Sub_1qrs0ktd	28
12	20	12	Sub_1qrs0ktd	29
16	16	18	Sub_1qrs0ktd	30
14	14	8	Sub_1qrs0ktd	31
10	2	10	Sub_1qrs0ktd	32
7	3	7	Sub_1qrs0ktd	33
7	1	7	Sub_1qrs0ktd	34
10	10	0	Sub_1qrs0ktd	35
13	13	1	Sub_1qrs0ktd	36
8	8	20	Sub_1qrs0ktd	37
5	19	5	Sub_1qrs0ktd	38
11	11	15	Sub_1qrs0ktd	39
1	1	19	Sub_1qrs0ktd	40
7	1	7	Sub_1qrs0ktd	41
13	3	13	Sub_1qrs0ktd	42
8	8	20	Sub_1qrs0ktd	43
14	6	14	Sub_1qrs0ktd	44
15	15	17	Sub_1qrs0ktd	45
11	19	11	Sub_1qrs0ktd	46
11	11	5	Sub_1qrs0ktd	47
11	15	11	Sub_1qrs0ktd	48
10	10	16	Sub_1qrs0ktd	49
1	1	19	Sub_1qrs0ktd	50
8	8	10	Sub_1qrs0ktd	51
12	12	8	Sub_1qrs0ktd	52
15	3	15	Sub_1qrs0ktd	53
3	3	19	Sub_1qrs0ktd	54
14	0	14	Sub_1qrs0ktd	55
