participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._round_number,participant._current_page_name,participant.ip_address,participant.time_started,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.test_question_1,player.test_question_2,player.test_question_3,player.test_question_4,player.payoff,group.id_in_subsession,group.payout_chosen_trial,group.option1,group.option2,group.amount_offered,group.option_chosen,group.current_opponent,group.payout,group.soc_or_no,group.offer_accepted,subsession.round_number,session.code,session.label,session.experimenter_name,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,8q048zlv,,0,387,1350,my_ultimatum_priors_social,96,Offer,10.239.93.100,2017-11-15 10:00:21.833753+00:00,1,,,0,1,,,,,0,1,,9,19,9,Option 1,square,11,Social,1,48,ag3bbb10,,,,,,0
1,8q048zlv,,0,387,1350,my_ultimatum_priors_social,96,Offer,10.239.93.100,2017-11-15 10:00:21.833753+00:00,1,,,0,1,,,,,0,1,,13,19,13,Option 1,triangle,7,Social,1,49,ag3bbb10,,,,,,0
1,8q048zlv,,0,387,1350,my_ultimatum_priors_social,96,Offer,10.239.93.100,2017-11-15 10:00:21.833753+00:00,1,,,0,1,,,,,0,1,,7,17,7,Option 1,circle,13,Social,1,50,ag3bbb10,,,,,,0
1,8q048zlv,,0,387,1350,my_ultimatum_priors_social,96,Offer,10.239.93.100,2017-11-15 10:00:21.833753+00:00,1,,,0,1,,,,,0,1,,8,14,8,Option 1,circle,12,Social,1,51,ag3bbb10,,,,,,0
1,8q048zlv,,0,387,1350,my_ultimatum_priors_social,96,Offer,10.239.93.100,2017-11-15 10:00:21.833753+00:00,1,,,0,1,,,,,0,1,,1,11,11,Option 2,square,9,Social,1,52,ag3bbb10,,,,,,0
1,8q048zlv,,0,387,1350,my_ultimatum_priors_social,96,Offer,10.239.93.100,2017-11-15 10:00:21.833753+00:00,1,,,0,1,,,,,0,1,,12,18,12,Option 1,square,8,Social,1,53,ag3bbb10,,,,,,0
1,8q048zlv,,0,387,1350,my_ultimatum_priors_social,96,Offer,10.239.93.100,2017-11-15 10:00:21.833753+00:00,1,,,0,1,,,,,0,1,,15,19,15,Option 1,square,5,Social,1,54,ag3bbb10,,,,,,0
1,8q048zlv,,0,387,1350,my_ultimatum_priors_social,96,Offer,10.239.93.100,2017-11-15 10:00:21.833753+00:00,1,,,0,1,,,,,0,1,,13,15,13,Option 1,circle,7,Social,1,55,ag3bbb10,,,,,,0
1,8q048zlv,,0,387,1350,my_ultimatum_priors_social,96,Offer,10.239.93.100,2017-11-15 10:00:21.833753+00:00,1,,,0,1,,,,,0,1,,1,11,11,Option 2,square,9,Social,1,56,ag3bbb10,,,,,,0
1,8q048zlv,,0,387,1350,my_ultimatum_priors_social,96,Offer,10.239.93.100,2017-11-15 10:00:21.833753+00:00,1,,,0,1,,,,,0,1,,14,20,14,Option 1,circle,6,Social,1,57,ag3bbb10,,,,,,0
