participant.id_in_session	participant.code	participant.visited	participant.payoff	player.id_in_group	player.payoff	group.id_in_subsession	group.amount_offered	group.current_opponent	group.payout	group.soc_or_no	group.offer_accepted	subsession.round_number	session.code
1	f5ut2ntt	1	0	1	0	1	10	square	10	Non-social	1	13	ohtnbfl2
1	f5ut2ntt	1	0	1	0	1	10	square	10	Non-social	1	14	ohtnbfl2
1	f5ut2ntt	1	0	1	0	1	10	triangle	10	Non-social	1	15	ohtnbfl2
1	f5ut2ntt	1	0	1	0	1	10	circle	10	Non-social	1	16	ohtnbfl2
1	f5ut2ntt	1	0	1	0	1	10	square	10	Non-social	1	17	ohtnbfl2
1	f5ut2ntt	1	0	1	0	1	10	circle	10	Non-social	1	18	ohtnbfl2
1	f5ut2ntt	1	0	1	0	1	10	circle	10	Non-social	1	19	ohtnbfl2
1	f5ut2ntt	1	0	1	0	1	10	square	10	Non-social	1	20	ohtnbfl2
1	f5ut2ntt	1	0	1	0	1	10	triangle	0	Non-social	0	21	ohtnbfl2
1	f5ut2ntt	1	0	1	0	1	10	triangle	10	Non-social	1	22	ohtnbfl2
1	f5ut2ntt	1	0	1	0	1	10	circle	10	Non-social	1	23	ohtnbfl2
1	f5ut2ntt	1	0	1	0	1	10	circle	10	Non-social	1	24	ohtnbfl2
1	f5ut2ntt	1	0	1	0	1	10	circle	10	Non-social	1	25	ohtnbfl2
1	f5ut2ntt	1	0	1	0	1	10	triangle	10	Non-social	1	26	ohtnbfl2
1	f5ut2ntt	1	0	1	0	1	10	triangle	10	Non-social	1	27	ohtnbfl2
1	f5ut2ntt	1	0	1	0	1	10	square	10	Non-social	1	28	ohtnbfl2
1	f5ut2ntt	1	0	1	0	1	10	triangle	0	Non-social	0	29	ohtnbfl2
1	f5ut2ntt	1	0	1	0	1	10	circle	0	Non-social	0	30	ohtnbfl2
1	f5ut2ntt	1	0	1	0	1	10	square	10	Non-social	1	31	ohtnbfl2
1	f5ut2ntt	1	0	1	0	1	10	square	10	Non-social	1	32	ohtnbfl2
1	f5ut2ntt	1	0	1	0	1	10	square	10	Non-social	1	33	ohtnbfl2
1	f5ut2ntt	1	0	1	0	1	10	square	10	Non-social	1	34	ohtnbfl2
1	f5ut2ntt	1	0	1	0	1	10	square	10	Non-social	1	35	ohtnbfl2
1	f5ut2ntt	1	0	1	0	1	10	square	10	Non-social	1	36	ohtnbfl2
1	f5ut2ntt	1	0	1	0	1	10	square	10	Non-social	1	37	ohtnbfl2
1	f5ut2ntt	1	0	1	0	1	10	circle	10	Non-social	1	38	ohtnbfl2
1	f5ut2ntt	1	0	1	0	1	10	square	10	Non-social	1	39	ohtnbfl2
1	f5ut2ntt	1	0	1	0	1	10	triangle	10	Non-social	1	40	ohtnbfl2
1	f5ut2ntt	1	0	1	0	1	10	triangle	10	Non-social	1	41	ohtnbfl2
1	f5ut2ntt	1	0	1	0	1	10	circle	10	Non-social	1	42	ohtnbfl2
1	f5ut2ntt	1	0	1	0	1	10	triangle	10	Non-social	1	43	ohtnbfl2
1	f5ut2ntt	1	0	1	0	1	10	triangle	10	Non-social	1	44	ohtnbfl2
1	f5ut2ntt	1	0	1	0	1	10	circle	10	Non-social	1	45	ohtnbfl2
1	f5ut2ntt	1	0	1	0	1	10	square	10	Non-social	1	46	ohtnbfl2
1	f5ut2ntt	1	0	1	0	1	10	square	10	Non-social	1	47	ohtnbfl2
1	f5ut2ntt	1	0	1	0	1	10	circle	10	Non-social	1	48	ohtnbfl2
